nama_produk,harga,lokasi_seller,nama_toko,url_produk,kategori,platform,waktu_scrape
Kab. Gresik,Rp13.000,Sultan Shrimp Petis 1kg Original from Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Special Coffee Gold Money 1kg,Rp75.200,Kab. Gresik,-,-,Fashion Muslim,Lazada,2026-09-03 18:55
Uang Emas Kopi Special 350g,Rp29.700,Kab. Gresik,-,-,Fashion Muslim,Lazada,2026-09-03 18:55
Freshcare Strong Hot - Fresh Care 10ml - Minyak Angin Aromateraphy,Rp15.500,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Npk Petro Nitrate Fertilizer (to Increase Crop Yields) 1'Kg,Rp32.500,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Fish Cracker Stick Shape,Rp25.500,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Kerupuk Ikan Payus Sedang | Mentah khas Sidayu Gresik,Rp22.300,Kab. Gresik,-,-,Makanan & Minuman,Lazada,2026-09-03 18:55
Insektisida Sidamethrin 50EC Pembasmi Hama 100 ml,Rp17.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
No Label Essence in Surabaya for Daily Swimming and Competitions,Rp55.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Almira Whitening Fresh Olive Oil,Rp47.985,Kab. Gresik,-,-,Otomotif,Lazada,2026-09-03 18:55
bas khosidah uk 30 kompang bas banjari rebana bas hadroh hadroh rebana terbangan,Rp115.000,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Tas Slempang Wanita muat HP + Uang + Kartu,Rp17.999,Kab. Gresik,-,-,Handphone & Aksesoris,Lazada,2026-09-03 18:55
Peci BLUDRU PREMIUM PUTIH AC,Rp62.500,Kab. Gresik,-,-,Fashion Muslim,Lazada,2026-09-03 18:55
PENGUSIR CICAK AROMATIC SPRAY EFEKTIF AMPUH BY PHARMACIE ORGANICO,Rp27.500,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Hasna Massage Oil Living Fresh,Rp47.985,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Almira Fresh Cool Olive Oil,Rp51.985,Kab. Gresik,-,-,Otomotif,Lazada,2026-09-03 18:55
tas Rebana Hadroh Biasa isi 2,Rp19.900,Kab. Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Almira Living Fresh Olive Oil,Rp50.985,Kab. Gresik,-,-,Otomotif,Lazada,2026-09-03 18:55
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:55
Dompet wanita kecil Dompet kartu Dompet wanita mini Korea Motif Buah,Rp10.999,Kab. Gresik,-,-,Tas & Koper,Lazada,2026-09-03 18:55
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:56
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:56
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:57
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:58
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:58
RYNEZ - KAOS RYNEZ - KAOS SKULL - FACE OF DEATH - SKELLETON - HEAVY METAL - BLACK METAL - HARD ROCK - METALLICA - TENGKORAK - T SHIRT ROCK - KAOS ANAK - KAOS BAND - GRUB BAND - STREETWEAR - SABLON DTF,Rp69.900,Kab. Gresik,-,-,Rumah Tangga,Lazada,2026-09-03 18:58
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:59
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 18:59
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 19:00
Add as a preferred source on Google,-,Gresik,-,-,Lainnya,Lazada,2026-09-03 19:00
